id	en	ru	in	vi	pt	el	de	es	cs	it	pl	fr	zh	sw	hi	ar	ko	ja	uk
locale	English	Russian	Indonesian	Vietnamese	Portuguese	Greek	German	Spanish	Czech	Italian	Polish	French	Chinese	Swahili	Hindi	Arabic	Korean	Japanese	Ukrainian
app_name	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet	Retweet
notification_permissions	To function properly, Retweet needs notification permissions. If permission is not granted, the app will not work. Note that some Android versions may not have the 'Read notification permission' available, which will prevent Retweet from working on those versions.	Чтобы правильно функционировать, ретвит требует разрешений уведомлений. Если разрешение не предоставлено, приложение не будет работать. Обратите внимание, что некоторые версии Android могут не иметь доступного разрешения на уведомление о чтении, что помешает ретвиту работать над этими версиями.	Agar berfungsi dengan baik, retweet membutuhkan izin pemberitahuan. Jika izin tidak diberikan, aplikasi tidak akan berfungsi. Perhatikan bahwa beberapa versi Android mungkin tidak memiliki 'izin pemberitahuan baca' yang tersedia, yang akan mencegah retweet dari mengerjakan versi -versi tersebut.	Để hoạt động đúng, r tweet cần quyền thông báo. Nếu quyền không được cấp, ứng dụng sẽ không hoạt động. Lưu ý rằng một số phiên bản Android có thể không có khả năng 'Quyền thông báo đọc', điều này sẽ ngăn chặn tin tweet hoạt động trên các phiên bản đó.	Para funcionar corretamente, o retweet precisa de permissões de notificação. Se a permissão não for concedida, o aplicativo não funcionará. Observe que algumas versões do Android podem não ter a 'permissão de notificação de leitura' disponível, o que impedirá o retweet de trabalhar nessas versões.	Για να λειτουργήσει σωστά, το Retweet χρειάζεται δικαιώματα ειδοποίησης. Εάν δεν χορηγηθεί άδεια, η εφαρμογή δεν θα λειτουργήσει. Σημειώστε ότι ορισμένες εκδόσεις Android ενδέχεται να μην διαθέτουν την "άδεια ειδοποίησης ανάγνωσης", η οποία θα εμποδίσει την Retweet να εργαστεί σε αυτές τις εκδόσεις.	Um ordnungsgemäß zu funktionieren, benötigt Retweet Benachrichtigungsberechtigungen. Wenn keine Erlaubnis erteilt wird, funktioniert die App nicht. Beachten Sie, dass einige Android -Versionen möglicherweise nicht die "Read -Benachrichtigungsgenehmigung" zur Verfügung haben, wodurch Retweet an diesen Versionen gearbeitet wird.	Para funcionar correctamente, Retweet necesita permisos de notificación. Si no se otorga permiso, la aplicación no funcionará. Tenga en cuenta que algunas versiones de Android pueden no tener el 'permiso de notificación de lectura' disponible, lo que evitará que Retweet trabaje en esas versiones.	Abychom správně fungovali, Retweet potřebuje oprávnění oznámení. Pokud není povolení uděleno, aplikace nebude fungovat. Všimněte si, že některé verze Android nemusí mít k dispozici „Oznámení o oznámení o čtení“, což zabrání práci retweetu na těchto verzích.	Per funzionare correttamente, Retweet necessita di autorizzazioni di notifica. Se il permesso non è concesso, l'app non funzionerà. Si noti che alcune versioni Android potrebbero non avere la "autorizzazione di notifica di lettura" disponibile, che impedirà al retweet di lavorare su tali versioni.	Aby poprawnie funkcjonować, retweet wymaga uprawnień powiadomień. Jeśli pozwolenie nie zostanie przyznane, aplikacja nie będzie działać. Pamiętaj, że niektóre wersje na Androida mogą nie mieć dostępnej „uprawnienia powiadomienia odczytu”, co uniemożliwi retweetowi pracę nad tymi wersjami.	Pour fonctionner correctement, Retweet a besoin de permis de notification. Si l'autorisation n'est pas accordée, l'application ne fonctionnera pas. Notez que certaines versions Android peuvent ne pas disposer de «l'autorisation de notification de lecture», ce qui empêchera Retweet de travailler sur ces versions.	为了正常运行，转发需要通知权限。如果未授予许可，则该应用程序将无效。请注意，某些Android版本可能没有可用的“读取通知权限”，这将阻止转发在这些版本上工作。	Ili kufanya kazi vizuri, retweet inahitaji ruhusa za arifa. Ikiwa ruhusa haijapewa, programu haitafanya kazi. Kumbuka kuwa matoleo kadhaa ya Android yanaweza kukosa ruhusa ya 'Soma Arifa' inayopatikana, ambayo itazuia retweet kufanya kazi kwenye matoleo hayo.	ठीक से कार्य करने के लिए, रीट्वीट को अधिसूचना अनुमतियों की आवश्यकता है। यदि अनुमति नहीं दी जाती है, तो ऐप काम नहीं करेगा। ध्यान दें कि कुछ Android संस्करणों में 'रीड नोटिफिकेशन अनुमति' उपलब्ध नहीं हो सकती है, जो उन संस्करणों पर काम करने से रिट्वीट को रोक देगा।	للعمل بشكل صحيح ، يحتاج إعادة تغريد أذونات الإخطار. إذا لم يتم منح إذن ، فلن يعمل التطبيق. لاحظ أن بعض إصدارات Android قد لا تحتوي على "إذن إخطار القراءة" المتاح ، مما سيمنع إعادة تغريد من العمل على هذه الإصدارات.	제대로 작동하려면 리트 윗에 알림 권한이 필요합니다. 권한이 부여되지 않으면 앱이 작동하지 않습니다. 일부 Android 버전에는 '읽기 알림 권한'을 사용할 수 없으므로 리트 윗이 해당 버전에서 작동하지 않습니다.	適切に機能するには、リツイートには通知許可が必要です。許可が与えられない場合、アプリは機能しません。一部のAndroidバージョンには、「読み取り通知許可」が利用可能ではない場合があり、リツイートがそれらのバージョンで動作することを妨げます。	Для правильного функціонування Retweet потребує дозволів на повідомлення. Якщо дозвіл не буде надано, додаток не буде працювати. Зауважте, що деякі версії Android можуть не мати доступного "дозволу на читання повідомлення", що не дозволить Retweet працювати над цими версіями.
twitter_setup	Retweet relies on Twitter notifications to function. The Twitter app is necessary and must be set up to receive notifications on your phone.	Ретвит полагается на уведомления в Твиттере для функционирования. Приложение Twitter необходимо и должно быть настроено для получения уведомлений на вашем телефоне.	Retweet mengandalkan pemberitahuan Twitter untuk berfungsi. Aplikasi Twitter diperlukan dan harus diatur untuk menerima pemberitahuan di ponsel Anda.	Retweet dựa trên thông báo Twitter để chức năng. Ứng dụng Twitter là cần thiết và phải được thiết lập để nhận thông báo trên điện thoại của bạn.	Retweet conta com as notificações do Twitter para funcionar. O aplicativo do Twitter é necessário e deve ser configurado para receber notificações no seu telefone.	Το Retweet βασίζεται στις ειδοποιήσεις Twitter για να λειτουργήσει. Η εφαρμογή Twitter είναι απαραίτητη και πρέπει να ρυθμιστεί για να λαμβάνετε ειδοποιήσεις στο τηλέφωνό σας.	Retweet stützt sich auf Twitter -Benachrichtigungen, um zu funktionieren. Die Twitter -App ist erforderlich und muss eingerichtet werden, um Benachrichtigungen auf Ihrem Telefon zu erhalten.	Retweet se basa en las notificaciones de Twitter para funcionar. La aplicación de Twitter es necesaria y debe configurarse para recibir notificaciones en su teléfono.	Retweet se spoléhá na oznámení Twitteru, aby fungovala. Aplikace Twitter je nezbytná a musí být nastavena, aby v telefonu obdržela oznámení.	Retweet si basa sulle notifiche di Twitter per funzionare. L'app Twitter è necessaria e deve essere impostata per ricevere notifiche sul telefono.	Retweet opiera się na powiadomieniach na Twitterze do funkcjonowania. Aplikacja na Twitterze jest konieczna i musi zostać skonfigurowana, aby otrzymywać powiadomienia w telefonie.	Retweet s'appuie sur les notifications Twitter pour fonctionner. L'application Twitter est nécessaire et doit être configurée pour recevoir des notifications sur votre téléphone.	转发依赖于Twitter通知功能。 Twitter应用程序是必需的，必须设置以在手机上接收通知。	Retweet hutegemea arifa za Twitter kufanya kazi. Programu ya Twitter ni muhimu na lazima iwekwe ili kupokea arifa kwenye simu yako.	RETWEET कार्य करने के लिए ट्विटर सूचनाओं पर निर्भर करता है। ट्विटर ऐप आवश्यक है और आपके फोन पर सूचनाएं प्राप्त करने के लिए सेट किया जाना चाहिए।	يعتمد Retweet على إشعارات Twitter للعمل. تطبيق Twitter ضروري ويجب إعداده لتلقي الإخطارات على هاتفك.	리트 윗은 트위터 알림에 의존합니다. 트위터 앱이 필요하며 휴대 전화에서 알림을 받기 위해 설정해야합니다.	Retweetは、Twitter通知に依存しています。 Twitterアプリが必要であり、携帯電話で通知を受信するために設定する必要があります。	Retweet покладається на сповіщення Twitter на функціонування. Додаток Twitter необхідний і повинен бути налаштований для отримання сповіщень на вашому телефоні.
setup_detect	The setup process will be finished once Retweet detects a Twitter notification. You can check back later, and we'll also send you a notification when it's complete.	Процесс настройки будет завершен после того, как ретвит обнаружит уведомление в Твиттере. Вы можете проверить позже, и мы также отправим вам уведомление, когда оно будет завершено.	Proses pengaturan akan selesai setelah retweet mendeteksi pemberitahuan Twitter. Anda dapat memeriksa kembali nanti, dan kami juga akan mengirimkan pemberitahuan saat selesai.	Quá trình thiết lập sẽ được hoàn thành sau khi chuyển tiếp phát hiện ra một thông báo Twitter. Bạn có thể kiểm tra lại sau và chúng tôi cũng sẽ gửi cho bạn một thông báo khi hoàn thành.	O processo de configuração será concluído assim que o retweet detectar uma notificação no Twitter. Você pode verificar mais tarde e também enviaremos uma notificação quando estiver concluída.	Η διαδικασία εγκατάστασης θα ολοκληρωθεί μόλις η Retweet εντοπίσει μια ειδοποίηση Twitter. Μπορείτε να ελέγξετε ξανά αργότερα και θα σας στείλουμε επίσης μια ειδοποίηση όταν είναι πλήρης.	Der Setup -Vorgang wird abgeschlossen, sobald Retweet eine Twitter -Benachrichtigung erkennt. Sie können später noch einmal nachsehen, und wir senden Ihnen auch eine Benachrichtigung, wenn sie abgeschlossen ist.	El proceso de configuración se terminará una vez que Retweet detecte una notificación de Twitter. Puede volver a consultar más tarde, y también le enviaremos una notificación cuando esté completo.	Proces nastavení bude dokončen, jakmile retweet detekuje oznámení Twitter. Později se můžete vrátit zpět a my vám také pošleme oznámení, až bude dokončeno.	Il processo di configurazione verrà terminato una volta che Retweet rileva una notifica di Twitter. Puoi ricontrollare più tardi e ti invieremo anche una notifica quando sarà completo.	Proces konfiguracji zostanie zakończony, gdy retweet wykryje powiadomienie na Twitterze. Możesz sprawdzić później, a my również wyślemy Ci powiadomienie, gdy jest to zakończone.	Le processus de configuration sera terminé une fois que Retweet détectera une notification Twitter. Vous pouvez revenir plus tard et nous vous enverrons également une notification à sa fin.	一旦转发检测到Twitter通知，设置过程将完成。您可以稍后再检查，并且我们还将在完成后向您发送通知。	Mchakato wa usanidi utakamilika mara tu Retweet itagundua arifa ya Twitter. Unaweza kuangalia tena baadaye, na pia tutakutumia arifa ikiwa imekamilika.	एक बार ट्विटर अधिसूचना का पता लगाने के बाद सेटअप प्रक्रिया समाप्त हो जाएगी। आप बाद में वापस देख सकते हैं, और जब यह पूरा हो जाएगा तो हम आपको एक अधिसूचना भी भेजेंगे।	سيتم الانتهاء من عملية الإعداد بمجرد اكتشاف إعادة تغريد إشعار Twitter. يمكنك التحقق مرة أخرى لاحقًا ، وسنرسل لك أيضًا إشعارًا عند اكتماله.	리트 윗이 트위터 알림을 감지하면 설정 프로세스가 완료됩니다. 나중에 다시 확인할 수 있으며 완료되면 알림을 보내드립니다.	リツイートがTwitter通知を検出すると、セットアッププロセスが完了します。後で確認することもできます。また、完了したら通知をお送りします。	Процес налаштування буде завершено, як тільки Retweet виявить повідомлення в Twitter. Ви можете перевірити пізніше, і ми також надішлемо вам сповіщення, коли воно завершиться.
setup_alerts	Once the setup is complete, any tweet alerts received as notifications will be automatically retweeted and liked according to your settings. You can access the settings page after setup to adjust these preferences.	После завершения настройки любые оповещения твитов, полученные в виде уведомлений, будут автоматически ретвитировать и понравиться в соответствии с вашими настройками. Вы можете получить доступ к странице «Настройки» после настройки, чтобы настроить эти предпочтения.	Setelah pengaturan selesai, peringatan tweet apa pun yang diterima sebagai pemberitahuan akan secara otomatis di -retweet dan disukai sesuai dengan pengaturan Anda. Anda dapat mengakses halaman Pengaturan setelah pengaturan untuk menyesuaikan preferensi ini.	Sau khi thiết lập hoàn tất, bất kỳ cảnh báo tweet nào nhận được dưới dạng thông báo sẽ được tự động chuyển tiếp và thích theo cài đặt của bạn. Bạn có thể truy cập trang Cài đặt sau khi thiết lập để điều chỉnh các tùy chọn này.	Após a conclusão da configuração, quaisquer alertas de tweet recebidos, pois as notificações serão automaticamente retweetadas e gostadas de acordo com suas configurações. Você pode acessar a página de configurações após a configuração para ajustar essas preferências.	Μόλις ολοκληρωθεί η ρύθμιση, τυχόν ειδοποιήσεις tweet που λαμβάνονται, καθώς οι ειδοποιήσεις θα επαναληφθούν αυτόματα και θα τους αρέσουν σύμφωνα με τις ρυθμίσεις σας. Μπορείτε να έχετε πρόσβαση στη σελίδα ρυθμίσεων μετά την ρύθμιση για να ρυθμίσετε αυτές τις προτιμήσεις.	Sobald das Setup abgeschlossen ist, werden alle als Benachrichtigungen empfangenen Tweet -Benachrichtigungen automatisch retweetet und gemäß Ihren Einstellungen gemocht. Sie können nach dem Einrichten auf die Seite "Einstellungen" zugreifen, um diese Einstellungen anzupassen.	Una vez que se complete la configuración, cualquier alertas de tweet recibidas como notificaciones se retuiteadas automáticamente y le gustan de acuerdo con su configuración. Puede acceder a la página Configuración después de la configuración para ajustar estas preferencias.	Po dokončení nastavení budou veškerá upozornění na tweet přijatá jako oznámení automaticky retweet a podle vašich nastavení. Po nastavení můžete přistupovat na stránku Nastavení a upravit tyto preference.	Una volta completata la configurazione, qualsiasi avviso di tweet ricevuto poiché le notifiche verranno automaticamente ritwittate e apprezzate in base alle tue impostazioni. È possibile accedere alla pagina Impostazioni dopo l'impostazione per regolare queste preferenze.	Po zakończeniu konfiguracji wszelkie powiadomienia o tweetach otrzymane jako powiadomienia zostaną automatycznie przesłane i lubiane zgodnie z twoimi ustawieniami. Po konfiguracji można uzyskać dostęp do strony Ustawienia, aby dostosować te preferencje.	Une fois la configuration terminée, toutes les alertes de tweet reçues en tant que notifications seront automatiquement retweetées et appréciées en fonction de vos paramètres. Vous pouvez accéder à la page Paramètres après la configuration pour ajuster ces préférences.	设置完成后，将根据您的设置自动转发并喜欢收到通知的任何推文警报。您可以在设置后访问设置页面以调整这些首选项。	Mara tu usanidi utakapokamilika, arifu zozote za tweet zilizopokelewa kama arifa zitarejeshwa kiotomatiki na kupendwa kulingana na mipangilio yako. Unaweza kufikia ukurasa wa Mipangilio baada ya kusanidi kurekebisha upendeleo huu.	एक बार सेटअप पूरा हो जाने के बाद, नोटिफिकेशन के रूप में प्राप्त किसी भी ट्वीट अलर्ट को स्वचालित रूप से रीट्वीट किया जाएगा और आपकी सेटिंग्स के अनुसार पसंद किया जाएगा। इन वरीयताओं को समायोजित करने के लिए आप सेटअप के बाद सेटिंग पृष्ठ तक पहुंच सकते हैं।	بمجرد اكتمال الإعداد ، سيتم إعادة تغريد أي تنبيهات تغريدة كإشعارات تلقائيًا وإعجابها وفقًا لإعداداتك. يمكنك الوصول إلى صفحة الإعدادات بعد الإعداد لضبط هذه التفضيلات.	설정이 완료되면 알림으로 수신 된 트윗 알림은 설정에 따라 자동으로 리트 윗되고 좋아합니다. 설정 후 설정 페이지에 액세스하여 이러한 환경 설정을 조정할 수 있습니다.	セットアップが完了すると、通知として受信されたツイートアラートは、設定に応じて自動的にリツイートされ、気に入られます。セットアップ後に設定ページにアクセスして、これらの設定を調整できます。	Після завершення налаштування будь -які попередження про твіт, отримані як сповіщення, будуть автоматично ретвітовані та сподобалися відповідно до ваших налаштувань. Ви можете отримати доступ до сторінки налаштувань після налаштування для регулювання цих налаштувань.
enable	Enable	Давать возможность	Memungkinkan	Cho phép	Habilitar	επιτρέπω	Aktivieren	Permitir	Umožnit	Abilitare	Włączać	Activer	使能够	Wezesha	सक्षम	يُمكَِن	할 수 있게 하다	有効にする	Ввімкнути
read_notifications	Read Notifications	Читать уведомления	Baca pemberitahuan	Đọc thông báo	Leia notificações	Διαβάστε ειδοποιήσεις	Benachrichtigungen lesen	Leer notificaciones	Přečtěte si oznámení	Leggi le notifiche	Przeczytaj powiadomienia	Lire les notifications	阅读通知	Soma arifa	सूचनाएं पढ़ें	اقرأ الإخطارات	알림을 읽습니다	通知を読んでください	Прочитайте сповіщення
about	About	О	Tentang	Về	Sobre	Σχετικά με	Um	Acerca de	O	Di	O	À propos	关于	Kuhusu	के बारे में	عن	에 대한	について	Про
app_about	Retweet App allows you to automatically like & retweet Tweets without direct interaction. It is not guaranteed that it will work on all devices since Android OS is highly fragmented. Please check the setup steps below.	Приложение Retweet позволяет вам автоматически любить твиты и ретвит без прямого взаимодействия. Не гарантируется, что он будет работать на всех устройствах, так как ОС Android сильно фрагментирована. Пожалуйста, проверьте шаги настройки ниже.	Aplikasi Retweet memungkinkan Anda untuk secara otomatis menyukai & retweet tweet tanpa interaksi langsung. Tidak dijamin bahwa itu akan bekerja pada semua perangkat karena Android OS sangat terfragmentasi. Silakan periksa langkah pengaturan di bawah ini.	Ứng dụng retweet cho phép bạn tự động thích & tweet tweet mà không có tương tác trực tiếp. Nó không được đảm bảo rằng nó sẽ hoạt động trên tất cả các thiết bị vì HĐH Android rất phân mảnh. Vui lòng kiểm tra các bước thiết lập bên dưới.	O aplicativo Retweet permite que você goste automaticamente e retweet tweets sem interação direta. Não é garantido que ele funcionará em todos os dispositivos, pois o sistema operacional Android é altamente fragmentado. Por favor, verifique as etapas de configuração abaixo.	Η εφαρμογή Retweet σάς επιτρέπει να συμπαθείτε αυτόματα και να επαναλάβετε τα tweets χωρίς άμεση αλληλεπίδραση. Δεν είναι εγγυημένο ότι θα λειτουργήσει σε όλες τις συσκευές, αφού το Android OS είναι εξαιρετικά κατακερματισμένο. Ελέγξτε τα παρακάτω βήματα ρύθμισης.	Mit Retweet -App können Sie Tweets automatisch ohne direkte Interaktion mögen und retweet. Es ist nicht garantiert, dass es auf allen Geräten funktioniert, da Android OS stark fragmentiert ist. Bitte überprüfen Sie die folgenden Einstellungsschritte.	La aplicación Retweet le permite que me gusten automáticamente y retuitear los tweets sin interacción directa. No se garantiza que funcionará en todos los dispositivos ya que Android OS está altamente fragmentado. Verifique los pasos de configuración a continuación.	Aplikace Retweet umožňuje automaticky podobné a retweet tweety bez přímé interakce. Není zaručeno, že bude fungovat na všech zařízeních, protože OS Android je velmi roztříštěn. Zkontrolujte prosím níže uvedené kroky nastavení.	L'app Retweet ti consente di apprezzare automaticamente e retweet senza interazione diretta. Non è garantito che funzionerà su tutti i dispositivi poiché Android OS è altamente frammentato. Si prega di controllare i passaggi di configurazione seguente.	Aplikacja Retweet umożliwia automatycznie polubienie tweetów i przetwarzania tweetów bez bezpośredniej interakcji. Nie gwarantuje, że będzie działać na wszystkich urządzeniach, ponieważ Android OS jest bardzo rozdrobniony. Sprawdź poniższe czynności konfiguracji.	L'application Retweet vous permet d'aimer automatiquement et de retweeter des tweets sans interaction directe. Il n'est pas garanti qu'il fonctionnera sur tous les appareils car Android OS est très fragmenté. Veuillez vérifier les étapes de configuration ci-dessous.	转发应用程序允许您自动喜欢＆转发推文而无需直接互动。由于Android OS高度分散，因此不能保证它将在所有设备上使用。请检查下面的设置步骤。	Programu ya Retweet hukuruhusu moja kwa moja kama na kurudisha tweets bila mwingiliano wa moja kwa moja. Haijahakikishiwa kuwa itafanya kazi kwenye vifaa vyote kwani Android OS imegawanyika sana. Tafadhali angalia hatua za usanidi hapa chini.	RETWEET ऐप आपको सीधे इंटरैक्शन के बिना स्वचालित रूप से पसंद करने और ट्वीट करने की अनुमति देता है। यह गारंटी नहीं है कि यह सभी उपकरणों पर काम करेगा क्योंकि एंड्रॉइड ओएस अत्यधिक खंडित है। कृपया नीचे दिए गए सेटअप चरणों की जाँच करें।	يتيح لك تطبيق Retweet تطبيق التغريدات تلقائيًا وإعادة تغريده دون تفاعل مباشر. لا يضمن أنه سيعمل على جميع الأجهزة لأن نظام التشغيل Android مجزأ للغاية. يرجى التحقق من خطوات الإعداد أدناه.	리트 윗 앱을 사용하면 직접 상호 작용없이 자동으로 & 리트 윗 트윗을 좋아할 수 있습니다. Android OS가 고도로 파편화되어 있으므로 모든 장치에서 작동한다는 것이 보장되지는 않습니다. 아래 설정 단계를 확인하십시오.	リツイートアプリを使用すると、直接的な相互作用なしにツイートを自動的に好み、リツイートできます。 Android OSは非常に断片化されているため、すべてのデバイスで動作することは保証されていません。以下のセットアップ手順を確認してください。	Додаток RetWeet дозволяє автоматично, як і ретвеет, твіти без прямої взаємодії. Не гарантовано, що він буде працювати на всіх пристроях, оскільки ОС Android сильно фрагментована. Перевірте кроки налаштування нижче.
